<<<<<<< HEAD
0, 578709.138600, 4901440.126300, 0427389404, None, False
1, 578955.267800, 4902078.186600, 0427389491, None, False
3, 579036.121300, 4902125.678600, 04273896, 04273895, False
4, 577520.571800, 4899122.702300, 04273890, 0427388957, False
5, 579624.321000, 4903003.658400, 04273898, 0427389788, False
7, 577715.194200, 4898633.202600, 04273888, 0427388765, False
13, 577504.569100, 4898255.386800, 04273886, 04273885, False
14, 577097.528700, 4899174.169500, 0427388957, None, False
15, 579564.159200, 4903108.181300, 0427389788, None, False
16, 580053.351200, 4903315.831300, 0427389940, 0427389788, False
18, 577397.436300, 4898714.649300, 0427388765, None, False
19, 577483.997500, 4898205.102100, 0427388495, 0427388402, False
21, 580060.619500, 4903321.896800, 0427385990, 04273902, False
22, 580099.903000, 4903279.629600, 0427389946, 0427389788, False
23, 579564.260700, 4901423.185800, 04273895, None, False
25, 577329.631600, 4897861.521100, 04273883, 04273881, False
28, 580507.267900, 4903047.610100, 0427390175, 04273900, False
29, 576723.483400, 4898117.074300, 0427388402, None, False
32, 576488.027400, 4899178.776600, 04273885, None, False
33, 580229.607800, 4903815.295800, 04273905, None, False
34, 580724.575700, 4903167.456100, 0427390591, 04273902, False
36, 579094.770500, 4897544.650600, 04273881, None, False
37, 576661.566900, 4897321.938700, 04273880, 0427387965, False
40, 581225.499800, 4903221.048900, 04273909, 0427385990, False
41, 580274.950900, 4901488.362300, 04273900, None, False
42, 576592.947500, 4897309.265600, 0427387958, 0427387965, False
43, 576640.977400, 4897222.674500, 0427387990, 0427387965, False
44, 579606.689000, 4905359.824100, 04273903, 04273902, False
48, 576459.550500, 4897148.861600, 0427387965, None, False
51, 581251.783900, 4903898.103500, 0427385922, None, False
53, 576298.607200, 4897284.788500, 0427387920, 04273876, False
54, 580119.010000, 4906193.865600, 04273901, None, False
56, 581775.618000, 4905068.921000, 04273858, None, False
57, 582088.536900, 4902666.394100, 04273912, 04273856, False
58, 576265.264700, 4897278.816800, 0427385997, 04273876, False
59, 580124.673700, 4906426.379400, 04273900, None, True
60, 578894.185500, 4906048.686500, 04273902, None, False
61, 582462.478600, 4905253.508600, 0427385723, None, False
63, 583198.796600, 4902068.911700, 04273959, 04273854, False
64, 576251.121100, 4897273.705300, 0427387913, 04273876, False
65, 582840.787900, 4905486.832100, 04273856, None, False
67, 582454.209800, 4898804.633000, 04273849, 04273847, False
68, 584258.289600, 4902661.583300, 04273965, 0427380896, False
69, 575996.186300, 4897018.497100, 04273878, 04273876, False
70, 576073.759400, 4896598.226400, 04273874, 0427387236, False
73, 582458.455100, 4898136.655100, 0427384419, 04273843, False
75, 584818.797100, 4903065.928600, 04273975, 04273803, False
76, 575972.393600, 4896988.390900, 0427387596, 04273876, False
77, 577055.270800, 4896214.961400, 04273873, 0427387236, False
78, 575918.509500, 4896345.659900, 0427387058, 04273868, False
80, 581391.315500, 4898122.992500, 04273848, 04273847, False
82, 582422.270600, 4898157.107500, 0427380896, 04273843, False
85, 585137.060100, 4904269.221400, 04273979, 04273796, False
86, 575067.101600, 4897018.762100, 04273876, None, False
87, 577573.037000, 4894904.025700, 04273871, None, False
89, 577005.703100, 4894478.473100, 04273868, None, False
90, 575648.419200, 4896370.468200, 0427386769, 04273865, False
93, 580378.305600, 4896803.659400, 04273847, None, False
94, 582403.700300, 4898115.748500, 0427384413, 04273843, False
95, 582373.269900, 4898074.899700, 0427384408, 04273843, False
97, 584304.914600, 4902318.057300, 0427380855, 0427380814, False
98, 585062.118100, 4902367.691700, 0427380216, 04273800, False
100, 585260.718400, 4905968.293300, 04273984, 04273792, False
101, 577557.618100, 4896618.092500, 0427387236, None, False
103, 576223.596400, 4893909.654100, 04273862, 04273861, False
104, 580977.826200, 4900321.336100, 04273854, None, False
107, 582378.934000, 4898055.537400, 0427384406, 04273843, False
109, 584165.773100, 4902545.613600, 0427380814, None, False
110, 587092.156100, 4903320.531700, 04273800, None, False
111, 586059.332200, 4901226.687100, 04273799, 04273798, False
112, 585739.828500, 4904616.958900, 0427379520, 04273794, False
113, 586082.305500, 4906244.594200, 04273985, None, False
115, 573918.014200, 4895096.220600, 04273865, None, False
116, 577518.970200, 4893304.696200, 04273860, None, False
