4, 1, 0.644000, 2.202000, -1 
7, 4, 0.708000, 0.708000, -1 
8, 4, 0.850000, 0.850000, -1 
14, 11, 0.473000, 13.374000, -1 
20, 25, 0.120000, 38.852000, -1 
31, 25, 0.712000, 20.441677, -1 
25, 32, 8.222000, 67.515677, -1 
37, 30, 0.729000, 3.254000, -1 
38, 31, 0.884000, 19.729677, -1 
42, 37, 0.491000, 1.599000, -1 
43, 37, 0.108000, 0.926000, -1 
44, 38, 1.424000, 18.845677, -1 
48, 42, 1.108000, 1.108000, -1 
49, 43, 0.818000, 0.818000, -1 
50, 44, 0.533000, 16.183764, -1 
52, 45, 0.730000, 0.730000, -1 
53, 45, 0.986000, 0.986000, -1 
62, 58, 0.597912, 0.597912, -1 
64, 60, 0.198000, 6.644000, -1 
64, 60, 0.162000, 0.162000, -1 
67, 64, 0.504000, 6.446000, -1 
72, 67, 0.086000, 2.400000, -1 
76, 72, 0.562000, 0.562000, -1 
77, 72, 1.752000, 1.752000, -1 
78, 73, 0.295000, 5.596000, -1 
79, 74, 0.304000, 0.304000, -1 
83, 78, 0.352000, 0.352000, -1 
91, 87, 1.955000, 1.955000, -1 
92, 87, 0.245000, 2.673000, -1 
96, 92, 0.085000, 0.085000, -1 
97, 92, 0.405000, 2.343000, -1 
100, 97, 0.108000, 1.120000, -1 
101, 97, 0.818000, 0.818000, -1 
105, 100, 0.633000, 0.633000, -1 
115, 113, 0.359000, 0.359000, -1 
116, 113, 0.102000, 0.102000, -1 
5, 1, 1.525000, 17.356000, -1 
1, 11, 1.002000, 20.560000, -1 
16, 5, 2.025000, 15.236000, -1 
17, 5, 0.595000, 0.595000, -1 
11, 20, 2.654000, 36.588000, -1 
30, 14, 5.238000, 8.492000, -1 
33, 20, 2.144000, 2.144000, -1 
45, 16, 3.325000, 5.041000, -1 
55, 14, 4.409000, 4.409000, -1 
58, 44, 0.640000, 1.237912, -1 
60, 50, 1.170000, 7.976000, -1 
65, 50, 1.744764, 7.674764, -1 
73, 65, 0.166000, 5.762000, -1 
73, 65, 0.168000, 0.168000, -1 
74, 16, 1.931000, 8.170000, -1 
85, 67, 2.101000, 3.542000, -1 
87, 74, 1.307000, 5.935000, -1 
98, 85, 0.125000, 1.305000, -1 
98, 85, 0.136000, 0.136000, -1 
112, 98, 1.180000, 1.180000, -1 
113, 78, 4.488000, 4.949000, -1 
117, 100, 0.379000, 0.379000, -1 
